Título PT-BR,Descrição,Nota TMDb,Data Lançamento,Gêneros,Duração (min)
Scarface,"Após receber residência permanente nos Estados Unidos em troca do assassinato de um oficial do governo cubano, Tony Montana se torna o chefe do tráfico de drogas em Miami. Matando qualquer um que entre em seu caminho, Tony eventualmente se torna o maior traficante da Flórida, controlando quase toda a cocaína que entra em Miami. Porém, a pressão da polícia, as guerras com cartéis colombianos e sua própria paranoia servem para alimentar as chamas de sua eventual queda.",8.161,1983-12-09,"Ação, Crime, Drama",166
Guerra nas Estrelas: O Retorno de Jedi,"O imperador está supervisionando a construção de uma nova Estrela da Morte. Enquanto isso Luke Skywalker liberta Han Solo e a Princesa Leia das mãos de Jaba. Luke só se tornará um cavaleiro jedi quando destruir Darth Vader, que ainda pretende atraí-lo para o lado sombrio da Força.",7.899,1983-05-25,"Aventura, Ação, Ficção científica",135
Golpe de Mestre,"Após o assassinato de um amigo em comum, o aspirante a vigarista Johnny Hooker junta-se ao velho Henry Gondorff para se vingar de Doyle Lonnega, o cruel chefe responsável pelo crime. Hooker e Gondorff implementam um plano elaborado para que Lonnegan não descubra que está sendo enganado. O grande golpe começa a se desenrolar, mas as coisas não saem como planejaram e a destemida dupla faz improvisações de última hora.",8.03,1973-12-25,"Comédia, Crime, Drama",129
Laranja Mecânica,"Em uma Inglaterra do futuro, um membro de uma gangue de delinquentes tenta desligar-se, mas é espancado pelos demais e deixado ao abandono para ser apanhado pela polícia. Na prisão, ele é submetido a um tratamento experimental para recuperar criminosos, expondo-os às mazelas que eles mesmos infligiam à sociedade.",8.187,1971-12-19,"Ficção científica, Crime",136
2001: Uma Odisseia no Espaço,"Desde a “Aurora do Homem” (a pré-história), um misterioso monólito negro parece emitir sinais de outra civilização, assim interferindo no nosso planeta. Quatro milhões de anos depois, no século XXI, uma equipe de astronautas liderados pelo experiente David Bowman e Frank Poole é enviada ao planeta Júpiter para investigar o enigmático monólito na nave Discovery, totalmente controlada pelo computador HAL-9000. Entretanto, no meio da viagem, HAL-9000 entra em pane e tenta assumir o controle da nave, eliminando um a um os tripulantes.",8.065,1968-04-02,"Ficção científica, Mistério, Aventura",148
O Sol é Para Todos,"Scout Finch, de 6 anos, e seu irmão mais velho, Jem, vivem na pacata Maycomb, Alabama, passando a maior parte do tempo com seu amigo Dill e espionando seu vizinho recluso e misterioso, Boo Radley. Quando Atticus, seu pai viúvo e um advogado respeitado, defende um homem negro chamado Tom Robinson contra acusações forjadas de estupro, o julgamento e os eventos seguintes expõem as crianças aos males do racismo e dos estereótipos.",7.989,1962-12-20,Drama,130
Lawrence da Arábia,"Graças ao seu conhecimento dos beduínos, o oficial britânico T.E. Lawrence é enviado à Arábia para encontrar o príncipe Faisal e servir de ligação entre árabes e ingleses na luta contra os turcos. Com a ajuda do nativo xerife Ali, Lawrence se rebela contra as ordens de seus superiores e enfrenta uma jornada através do deserto para atacar um porto turco bem protegido.",8.0,1962-12-11,"Aventura, História, Guerra",216
Julgamento em Nuremberg,"Após a 2ª Guerra Mundial, um juiz americano é convocado para chefiar o julgamento de quatro juristas alemães responsáveis pela legalização dos crimes cometidos pelos nazistas durante a guerra. À medida que surgem provas de esterilização e assassinatos de judeus, a pressão política vai-se tornando cada vez maior, pois a Guerra Fria está chegando e ninguém quer mais julgamentos como os da Alemanha. Além disso, os governos aliados querem fortemente esquecer o passado, mas a coisa certa a ser feita é a questão que esse tribunal tentará responder. Baseado em fatos reais, principalmente no caso Katzenberger, o último julgamento dos Processos de Guerra de Nuremberg, que ocorreram depois da Segunda Guerra Mundial para julgar os criminosos nazistas.",8.042,1961-12-18,"Drama, História",171
Se Meu Apartamento Falasse,"Um funcionário ambicioso descobre um atalho para subir na companhia em que trabalha: Ceder seu apartamento para os encontros amorosos de seus chefes. A tática inicialmente dá certo, mas passa a ser ameaçada quando ele se apaixona pela amante de um de seus chefes.",8.202,1960-06-21,"Comédia, Drama, Romance",125
Intriga Internacional,"Confundido com um agente secreto, de uma hora para outra o publicitário Roger Tornhill se vê envolvido numa complicada trama de espionagem, sendo acusado inclusive de assassinato. Enquanto tenta provar sua inocência, é perseguido tanto pela polícia como por agentes criminosos. O filme comprova toda a habilidade de Hitchcock para mesclar suspense e aventura",7.984,1959-07-08,"Thriller, Aventura",136
Um Corpo Que Cai,"Em São Francisco, um detetive aposentado que sofre de um terrível medo de alturas é encarregado de vigiar uma mulher com possíveis tendências suicidas, até que algo estranho acontece nesta missão.",8.161,1958-05-28,"Mistério, Romance, Thriller",128
A Canção da Estrada,"No início do século 20, Abul é um menino pertencente a uma pobre família brâmane de um vilarejo na Índia. Seu pai, poeta e sacerdote, é forçado a deixar seus entes queridos em busca de trabalho. Uma das obras-prima do cinema mundial, inédita no Brasil e nas Américas. Este filme foi a estréia espetacular de Satyati Ray. Recuperada a finais dos anos 90, pois um incêndio destruiu os negativos originais, esta é a primeira fita, que deu origem a Trilogia de Apu. Nela se narra a comovente história de uma família de Bengali perseguida pela má sorte. O pai, Harihara, é um sacerdote mundano, curandeiro, sonhador e poeta. Sabajaya, a mãe trabalha para alimentar a uma família, que recebe com alegria e esperança a chegada de um novo filho, Apu.",7.9,1955-08-26,Drama,125
Cantando na Chuva,"Em 1927, Hollywood, está um verdadeiro rebuliço com a transição do cinema mudo para o falado. Don Lockwood e Lina Lamont, o casal mais querido do cinema mudo, se prepara para rodar um musical. Mas, infelizmente, Lina não só não sabe cantar como tem uma voz horrível. A estreante, Kathy Selden, é chamada a emprestar sua voz à estrela. As gravações são uma confusão, mas tudo piora quando Don se apaixona pela doce Kathy. Ao lado de seu inseparável amigo, o compositor Cosmo Brown, ele tenta mostrar ao mundo o talento de Kathy.",8.147,1952-04-10,"Comédia, Romance",102
Mourou o Ikiru,"Este documentário acompanha o dia a dia de pessoas cegas e surdas, pessoas surdocegas que vivem sozinhas na Ilha Sado, na província de Niigata. Um homem na cidade de Ishinomaki, província de Miyagi, que escolheu viver em sua comunidade apesar do terremoto e do tsunami, um jovem em Hiroshima que quer ser independente para poder se casar e continuar praticando judô, o professor Satoshi Fukushima, do Centro de Pesquisa para Ciência e Tecnologia Avançada da Universidade de Tóquio, que se tornou a primeira pessoa surda-cega a lecionar em tempo integral em uma universidade no mundo.",0.0,2017-08-26,Documentário,91
Pacto de Sangue,Um agente de seguros encontra a atraente (e casada) Phyllis quando vai efetuar um negócio e ambos logo se apaixonam. Phyllis o convence a efetuar um plano para assassinar seu marido após fazer um seguro de vida para ele. O objetivo? Ficar com o dinheiro do seguro. Mas nem tudo dá certo na execução do plano.,8.114,1944-07-06,"Crime, Thriller",107
Cidadão Kane,"Charles Foster Kane foi um menino pobre que acaba se tornando um dos homens mais ricos do mundo. O filme inicia com a sua morte, momentos antes da qual pronuncia a palavra ""Rosebud"". Após dias de sensacionalismo em cima da notícia de sua morte, o jornalista Jerry Thompson é enviado por seu chefe para investigar a vida de Kane, a fim de descobrir o sentido de sua última palavra, a qual ninguém sabia. Entrevistando pessoas do passado de Kane, o jornalista mergulha na vida de um homem solitário, que desde a infância é obrigado a seguir a vontade alheia. Ninguém a seu redor importa-se com Kane, que busca por meio da aquisição de bens a adoração das pessoas. Ao final, Thompson, após a exaustiva investigação da vida de Kane através de entrevistas, se vê incapaz de descobrir o significado da palavra, concluindo que ""Charles Foster Kane foi um homem que possuiu tudo o que quis e depois perdeu tudo. Talvez Rosebud seja algo que ele nunca tenha possuído ou algo que tenha perdido"".",8.0,1941-04-17,"Mistério, Drama",119
Round 6: O Desafio – Making Of,Entre nos bastidores e veja como o reality show inspirado em Round 6 passou de um drama roteirizado para uma competição cruel e inquietante.,7.551,2023-12-06,Documentário,30
Metrópolis,"O futuro ė distante e o mundo está sob o comando dos poderosos, que isolaram os mais pobres no subsolo como se fossem seus escravos, para que trabalhassem em prol dos mesmos. Comandados por Freder Fredersen, os operários são obrigados a trabalharem sem parar para que a cidade não pare.",8.108,1927-02-06,"Drama, Ficção científica",153
Billy The Kid: O Fora da Lei,"No Velho Oeste, Rio Cutler é um jovem garoto que mata o pai para proteger a mãe da violência dentro de casa. Quando seu tio Grant descobre, ele inicia uma violenta caçada pelo menino que foge com a irmã Sara. Logo, a dupla se vê em meio a um embate memorável entre o fora da lei Billy 'The Kid' e o xerife Pat Garrett, deixando tudo ainda mais caótico.",5.96,2019-03-08,"Faroeste, Drama, Ação",100
1917,"Os cabos Schofield e Blake são jovens soldados britânicos durante a Primeira Guerra Mundial. Quando eles são encarregados de uma missão aparentemente impossível, os dois precisam atravessar território inimigo, lutando contra o tempo, para entregar uma mensagem que pode salvar cerca de 1600 colegas de batalhão.",7.988,2019-12-25,"Guerra, História, Thriller, Drama",119
URI - Forças Especiais,"Forças especiais do exército indiano efetuam uma operação secreta contra uma célula terrorista, após o ataque em uma base.",7.023,2019-01-11,"Ação, Drama, Guerra",138
Tumbbad,"Índia, século IX. Vinayak vive em Tumbbad, uma pequena aldeia em ruínas controlada pelo seu pai, que não o reconhece como filho. Ele é obcecado por uma lenda local sobre um tesouro mítico, que foi enterrado ali pelos seus ancestrais. Muito teimoso, ele decide dar início a uma investigação para encontrar o artefato que o acompanhará por toda a sua vida, levando-o a um acerto de contas épico.",7.468,2018-10-12,"Fantasia, Terror",113
Assassinato às Cegas,"Ele é um pianista e deficiente visual que, sem querer, acaba no local onde um ex-ator foi morto. As reviravoltas na vida do músico mal começaram.",7.637,2018-10-05,"Crime, Mistério, Thriller, Comédia",140
K.G.F: Capítulo 1,Um filme sobre as minas de ouro que representam o poder absoluto. O filme é baseado na luta pelo poder para governar esses campos que eventualmente se tornam o destino de um homem e o seu destino final.,7.409,2018-12-20,"Ação, Thriller, Aventura, Crime",154
Green Book: O Guia,"Quando Tony Lip, um segurança ítalo-americano, é contratado como motorista do Dr. Don Shirley, um pianista negro de classe alta, durante uma turnê pelo sul dos Estados Unidos, eles devem seguir o ""O Guia"" para leva-los aos poucos estabelecimentos que eram seguros para os afro-americanos. Confrontados com o racismo, o perigo, assim como pela humanidade e o humor inesperados, eles são forçados a deixar de lado as diferenças para sobreviver e prosperar nessa jornada.",8.232,2018-11-16,"Drama, História",131
Tudo em Todo o Lugar ao Mesmo Tempo,"Uma imigrante chinesa parte rumo a uma aventura onde, sozinha, precisará salvar o mundo, explorando outros universos e outras vidas que poderia ter vivido. Contudo, as coisas se complicam quando ela fica presa nessa infinidade de possibilidades sem conseguir retornar para casa.",7.76,2022-03-24,"Ação, Aventura, Ficção científica",139
Vikram Vedha,"A história acompanha um policial que se propõe a capturar um tem temido gangster. Vikram é um polícia honesto, que sabe distinguir perfeitamente o bem e o mal. Vedha é um temido gangster de Kanpur entende as nuances entre os dois conceitos.",7.3,2017-07-21,"Ação, Thriller, Crime, Aventura",147
Baahubali 2: A Conclusão,"Shivudu, o filho de Bahubali, está cada vez mais perto de conhecer sua verdadeira herança e encarar de vez suas novas responsabilidades. Querendo respostas para questões que fogem de seu conhecimento, como o real motivo por trás da morte de seu pai, ele encontrará uma barreira para os seus planos devido aos fatos de seu próprio passado.",7.435,2017-04-27,"Ação, Aventura, Fantasia",167
"Corra, Milkha, Corra","A verdadeira história do ""Flying Sikh"" - vice campeão mundial e olímpico Milkha Singh. Que superou o massacre de sua família, guerra civil durante a partição entre Índia e Paquistão, e a falta de moradia para se tornar um dos atletas mais emblemáticos da Índia. O filme começa nos Jogos Olímpicos de 1960 em Roma, onde um treinador diz ""Bhaag Milkha Bhaag!"" Milkha (Jarhan Akhtar) começa a correr, e teria ganho facilmente, se ele não olhasse para trás quando ele se aproxima do fim da corrida. O olhar para trás, custa-lhe o bronze. Em um flashback, então, a história remonta à sua infância. Vemos como sua infância feliz chega a um fim abrupto quando a terra em que ele e sua família viveram torna-se uma parte do novo Paquistão.",7.415,2013-07-12,"História, Drama",186
Divertida Mente,"Quando Riley, de 11 anos, se muda para uma nova cidade, suas Emoções - Alegria, Medo, Raiva, Nojinho e Tristeza trabalham juntas para ajudá-la na transição. Porém, uma série de eventos faz com que Alegria e Tristeza se envolvam em uma perigosa aventura que virará o mundo de Riley de cabeça para baixo.",7.9,2015-06-17,"Animação, Família, Aventura, Drama, Comédia",95
Gangues de Wasseypur - Parte 2,É a sequela e o capítulo final da vida sangrenta das vingadoras 'Gangs of Wasseypur'. Os filhos de Sardar Khan estão em guerra com os homens de Ramadhir Singh; e as facas se chocam e as balas brilham; até cair morto.,7.8,2012-08-08,"Crime, Thriller, Ação",160
Paan Singh Tomar,"Quando a vida após a carreira esportiva não segue como o planejado, o celebrado corredor Paan Singh Tomar se torna um criminoso renomado.",7.369,2012-03-02,"Crime, Drama",135
O Segredo dos seus Olhos,Benjamín Espósito trabalhou a vida toda em um Tribunal de Justiça e agora aposentado tem a chance de escrever sobre a investigação de um assassinato que acabou mudando sua vida anos atrás.,7.988,2009-08-13,"Mistério, Thriller, Drama",129
Guerreiro,"Tommy Conlon é o filho mais novo de Paddy e voltou há pouco tempo para casa. Tommy supera os problemas do pai com bebida e passa a treinar com ele para poder participar de campeonatos de MMA (Mixed Martial Arts), o famoso vale-tudo. Só que sua trajetória faz com que tenha que enfrentar no ringue Brendan Conlon, seu próprio irmão.",7.841,2011-09-09,"Drama, Ação",140
Ilha do Medo,"No verão de 1954, os agentes judiciais Teddy Daniels (DiCaprio) e Chuck Aule (Ruffalo) foram designados para uma ilha remota do porto de Boston para investigar o desaparecimento de uma perigosa assassina (Mortimer) que estava reclusa no hospital psiquiátrico Ashecliffe, um centro penitenciário para criminosos perturbados dirigido pelo sinistro médico John Cawley. (Kingsley). Logo eles descobrem que o centro guarda muitos segredos e que a ilha esconde algo mais perigoso que os pacientes.",8.201,2010-02-14,"Drama, Thriller, Mistério",138
Demon Slayer: Mugen Train - O Filme,"Tanjiro Kamado, junto com Inosuke Hashibira, um garoto criado por javalis que usa uma cabeça de javali, e Zenitsu Agatsuma, um garoto assustado que revela seu verdadeiro poder quando dorme, embarca no Trem Infinito em uma nova missão com o Hashira de Fogo, Kyojuro Rengoku, para derrotar um demônio que tem atormentado o povo e matado os caçadores de oni que se opõem a ele!",8.212,2020-10-16,"Animação, Ação, Fantasia, Thriller",117
Artigo 15,"Um jovem e idealista delegado de polícia é designado para um vilarejo na zona rural indiana marcado por fortes divisões de casta. Ao investigar uma série de sequestros e assassinatos de moças dalits, ele se defronta com uma estrutura de preconceitos e desigualdades que criam uma cultura de violência, corrupção e injustiça. Estimulado pela esposa, ele resolve enfrentar essas atitudes.  O artigo 15 da Constituição da Índia proíbe discriminações de casta, religião e sexo.",7.536,2019-05-28,"Crime, Drama, Thriller",130
Meu Pai,"Um idoso sofre com as confusões da própria mente e rejeita qualquer ajuda. Enquanto isso, sua filha tenta lidar com a perda do pai que está vivo, mas cada dia mais longe.",8.113,2020-12-23,Drama,97
O Lobo de Wall Street,"Durante seis meses, Jordan Belfort trabalhou duro em uma corretora de Wall Street, seguindo os ensinamentos de seu mentor Mark Hanna. Quando finalmente consegue ser contratado como corretor da firma, acontece o Black Monday, que faz com que as bolsas de vários países caiam repentinamente. Sem emprego e bastante ambicioso, ele acaba trabalhando para uma empresa de fundo de quintal que lida com papéis de baixo valor, que não estão na bolsa de valores. É lá que Belfort tem a idéia de montar uma empresa focada neste tipo de negócio, cujas vendas são de valores mais baixos mas, em compensação, o retorno para o corretor é bem mais vantajoso. Ao lado de Donnie e outros amigos dos velhos tempos, ele cria a Stratton Oakmont, uma empresa que faz com que todos enriqueçam rapidamente e, também, levem uma vida dedicada ao prazer.",8.029,2013-12-25,"Crime, Drama, Comédia",180
Onde os Fracos Não Têm Vez,"Quando um homem depara com a sangrenta cena de um crime, uma caminhonete carregada de heroína e irresistíveis dois milhões de dólares, sua decisão de levar o dinheiro deflagra uma interminável e violenta reação em cadeia, que nem a lei do Oeste do Texas pode deter.",7.944,2007-06-13,"Crime, Drama, Thriller",122
Meu Pai e Meu Filho,"Um jornalista de cuja esposa morreu ao dar à luz seu filho durante um golpe militar, retorna à fazenda de sua família.  Afastado do pai por dar as costas à família e desperdiçar a vida com o ativismo político, ele tenta se reconectar com ele para que seu filho tenha um lugar para morar, pois sua saúde está piorando devido à extensa tortura que ele teve que suportar.",7.452,2005-11-18,Drama,112
Sangue Negro,"Daniel Plainview e seu filho são caçadores de petróleo, que perfuram poços na Califórnia no início do século XX. Eles são desafiados por um jovem pastor, Eli Sunday, cuja ambição pessoal é confrontada por Plainview. A luta entre os dois é o centro dessa conflitante, trágica e histórica jornada ao abismo da loucura causada pela corrupção, fraude e petróleo.",8.1,2007-12-26,Drama,158
O Labirinto do Fauno,"Espanha, 1944. Ofelia se muda com sua mãe para uma guarnição dirigida por seu padrasto, Vidal, um capitão autoritário do exército de Franco. Perto da casa da família, a jovem descobre um estranho labirinto guardado por uma criatura, um fauno chamado Pan. O monstro revela que ela é nada menos que a princesa de um reino encantado. Para descobrir a verdade, Ofelia precisa enfrentar três provas para as quais não está preparada.",7.753,2006-10-10,"Fantasia, Drama, Guerra",118
V de Vingança,"Após uma guerra mundial, a Inglaterra é ocupada por um governo fascista e vive sob um regime totalitário. Na luta pela liberdade, um vigilante, conhecido apenas como V, utiliza-se de táticas terroristas para enfrentar os opressores da sociedade. V salva uma jovem chamada Evey da polícia secreta e encontra nela uma nova aliada em busca de liberdade e justiça para o seu país.",7.898,2006-02-23,"Ação, Thriller, Ficção científica",130
Batman Begins,"Marcado pelo assassinato de seus pais quando ainda era criança, o milionário Bruce Wayne decide viajar pelo mundo em busca de encontrar meios que lhe permitam combater a injustiça e provocar medo em seus adversários. Após retornar a Gotham City, sua cidade-natal, ele idealiza seu alter-ego: Batman, um justiceiro mascarado que usa força, inteligência e um arsenal tecnológico para combater o crime.",7.712,2005-06-10,"Ação, Crime, Drama",140
O Castelo Animado,A jovem Sophie trabalha na chapelaria de seu falecido pai em uma cidade monótona. Mas as coisas mudam de figura depois que um feitiço a transforma em uma mulher idosa.,8.397,2004-09-09,"Fantasia, Animação, Aventura",120
Uma Mente Brilhante,"John Nash é um gênio da matemática que, aos 21 anos, formulou um teorema que provou sua genialidade e o tornou aclamado no meio onde atuava. Mas aos poucos o belo e arrogante Nash se transforma em um sofrido e atormentado homem, que chega até mesmo a ser diagnosticado como esquizofrênico pelos médicos que o tratam. Porém, após anos de luta para se recuperar, ele consegue retornar à sociedade e acaba sendo premiado com o Nobel.",7.854,2001-12-14,"Drama, Romance",135
Kill Bill: Volume 1,"A ex-assassina conhecida apenas como ""A Noiva"" acorda de um coma de quatro anos decidida a se vingar de Bill, seu ex-amante e chefe, que tentou matá-la no dia do casamento. Ela está motivada a acertar as contas com cada uma das pessoas envolvidas com a perda da filha, da festa de casamento e dos quatro anos da sua vida. Na jornada, ""A Noiva"" é submetida a dores físicas agoniantes ao enfrentar a inescrupulosa gangue de Bill, o Esquadrão Assassino de Víboras Mortais.",7.97,2003-10-10,"Ação, Crime",111
Procurando Nemo,"Nemo, um jovem peixe-palhaço aventureiro, é inesperadamente levado de sua casa na Grande Barreira de Corais para o aquário do consultório de um dentista. Cabe ao seu preocupado pai Marlin e à simpática mas esquecida peixe Dory trazer Nemo para casa - encontrando tubarões vegetarianos, tartarugas surfistas, medusas hipnóticas, gaivotas esfomeadas e muito mais pelo caminho.",7.8,2003-05-30,"Animação, Família",100
O Sexto Sentido,"Dr. Malcolm Crowe é um conceituado psicólogo infantil, que vive atormentado pela terrível lembrança de um jovem paciente que ele não foi capaz de ajudar. Quando ele encontra Cole Sear, um garoto de 8 anos assustado e confuso, com um problema similar, Dr. Crowe procura redimir seu erro do passado, fazendo tudo que pode pelo menino. Apesar disso, Malcolm não está preparado para descobrir a verdade que aterroriza Cole.",7.952,1999-08-06,"Mistério, Thriller, Drama",108
"Jogos, Trapaças e Dois Canos Fumegantes","Eddy convence três amigos a ajudá-lo com dinheiro para uma aposta muito alta de pôquer contra o chefão do crime local, Hatchet Harry. Harry trapaceia, e Eddy perde. Harry, então, dá um prazo a ele de uma semana para pagar 500 mil libras ou entregar o bar de seu pai. Desesperado, Eddy e seus amigos começam a roubar e vivem em constante perigo.",8.115,1998-08-28,"Comédia, Crime",105
O Show de Truman: O Show da Vida,"Truman Burbank é um pacato vendedor de seguros que leva um vida simples com sua esposa Meryl Burbank. Porém algumas coisas ao seu redor fazem com que ele passe a estranhar sua cidade, seus supostos amigos e até sua mulher. Após conhecer a misteriosa Lauren, ele fica intrigado e acaba descobrindo que toda sua vida foi monitorada por câmeras e transmitida em rede nacional.",8.147,1998-06-04,"Comédia, Drama",103
Los Angeles: Cidade Proibida,"Três policiais trabalham em um crime não resolvido em um café de Los Angeles. O tenente Exley quer vingar seu pai assassinado, e o ex-parceiro do agente White foi uma das vítimas. Enquanto isso, o sargento Vincennes divulga informações confidenciais a um magnata dos tabloides.",7.795,1997-09-19,"Crime, Mistério, Thriller, Drama",132
Filhos do Paraíso,"Ali é um menino de 9 anos proveniente de uma família humilde e que vive com seus pais e sua irmã, Zahra. Um dia ele perde o único par de sapatos da irmã e, tentando evitar a bronca dos pais, passa a dividir seu próprio par de sapatos com ela, com ambos revezando-o. Enquanto isso, Ali treina para obter uma boa colocação em uma corrida que será realizada, pois se terminar em 3º lugar ganhará um par de sapatos.",7.909,1997-08-01,"Drama, Família",89
Cassino,"No início dos anos 70, em Las Vegas, Sam ""Ace"" Rothstein é escolhido pelos seus chefes para dirigir o Cassino Tangiers. No início, ele é um grande sucesso no cargo, mas com o passar dos anos, problemas com o seu executor Nicky Santoro, a sua ex-mulher Ginger, o seu ex-vigarista Lester Diamond e um punhado de políticos corruptos colocam Sam em perigo cada vez maior.",8.0,1995-11-22,"Crime, Drama",179
Jurassic Park: O Parque dos Dinossauros,"Um parque construído por um milionário tem dinossauros diversos como habitantes, extintos a sessenta e cinco milhões de anos. Isto é possível por ter sido encontrado um inseto fossilizado, que tinha sugado sangue destes dinossauros, de onde pôde-se isolar o DNA, o código químico da vida e, a partir deste ponto, recriá-los em laboratório. Mas, o que parecia ser um sonho se torna um pesadelo, quando a experiência sai do controle de seus criadores.",7.953,1993-06-11,"Aventura, Ficção científica",127
Os Imperdoáveis,"Bill Munny, um pistoleiro aposentado, volta à ativa quando lhe oferecem 1000 dólares para matar os homens que cortaram o rosto de uma prostituta. Neste serviço dois outros pistoleiros o acompanham e eles precisam se confrontar com um inglês, que também deseja a recompensa e um xerife, que não deseja tumulto em sua cidade.",7.91,1992-08-07,Faroeste,131
Indiana Jones e a Última Cruzada,"O arqueólogo Indiana Jones tem acesso à um misterioso envelope que contém informações sobre a localização do lendário Santo Graal, o cálice que Jesus Cristo teria utilizado na Última Ceia. Quando seu pai, o professor Henry Jones, é sequestrado pelos nazistas, o aventureiro irá embarcar numa missão perigosa para salvá-lo e impedir que a relíquia sagrada caia em mãos erradas.",7.8,1989-05-24,"Aventura, Ação",127
Duro de Matar,"O policial de Nova York John McClane está visitando sua família no Natal. Ele participa de uma confraternização de fim de ano na sede da empresa japonesa em que a esposa trabalha. A festa é interrompida por terroristas que invadem o edifício de luxo. McClane não demora a perceber que não há ninguém para salvá-los, a não ser ele próprio.",7.798,1988-07-15,"Ação, Thriller",132
O Enigma de Outro Mundo,"Na remota Antártida, um grupo de cientistas americanos é perturbado em sua base quando, de um helicóptero, alguém atira em um cão do acampamento. À medida que socorrem o cão baleado, o bicho começa a atacar os cientistas e os outros cachorros e logo eles descobrem que o animal pode assumir a forma de suas vítimas. Isto significa que membros da equipe podem ser mortos e a cópia assumir o lugar deles. Com isso, um piloto e um médico precisam capturar a fera antes que seja tarde demais.",8.1,1982-06-25,"Terror, Mistério, Ficção científica",109
Touro Indomável,"O pugilista peso-médio Jake LaMotta (Robert De Niro), chamado de ""o touro do Bronx"", sobe na carreira com a mesma rapidez com que sua vida particular se degrada, graças ao seu temperamento violento e possessivo. Todos ao seu redor são afetados por seu comportamento auto-destrutivo, como seu irmão e empresário Joey LaMotta (Joe Pesci) e sua esposa Vickie (Cathy Moriarty).",7.925,1980-11-14,Drama,129
O Homem Elefante,"A história de John Merrick, um desafortunado cidadão da Inglaterra vitoriana que era portador do caso mais grave de neurofibromatose múltipla registrado, tendo 90% do seu corpo deformado. Esta situação tendia fazer com que ele passasse toda a sua existência se exibindo em circos de variedades como um monstro. Inicialmente era considerado um débil mental pela sua dificuldade de falar, até que um médico, Frederick Treves, o descobriu e o levou para um hospital. Lá Merrick se liberou emocionalmente e intelectualmente, além de se mostrar uma pessoa sensível ao extremo, que conseguiu recuperar sua dignidade.",8.048,1980-10-09,"Drama, História",124
Taxi Driver: Motorista de Táxi,"O motorista de táxi de Nova York Travis Bickle, veterano da Guerra do Vietnã, reflete constantemente sobre a corrupção da vida ao seu redor e sente-se cada vez mais perturbado com a própria solidão e alienação. Apesar de não conseguir fazer contato emocional com ninguém e viver uma vida questionável em busca de diversão, ele se torna obcecado em ajudar uma prostituta de 12 anos que entra em seu táxi para fugir de um cafetão.",8.1,1976-02-09,"Crime, Drama",114
Monty Python em Busca do Cálice Sagrado,"O Rei Artur sai à procura de cavaleiros que o acompanhe em uma atabalhoada jornada histórica: A busca do Santo Graal. Aparecem então Sir Lancelot, o Bravo; Sir Robin, o Não-Tão-Bravo-Quanto-Sir-Lancelot; Sir Galahad, o Puro, entre outros personagens surreais. Escrita pelo genial grupo de comédia britânico Monty Python, a trama do longa satiriza diversos eventos históricos ocorridos na Idade Média.",7.803,1975-04-03,"Aventura, Comédia, Fantasia",91
Dersu Uzala,"Em 1902, uma expedição do exército russo vai explorar a Sibéria sob o comando do capitão Vladimir Arseniev. Ele faz amizade com Dersu Uzala, um caçador Goldi (Nanai), e o convida para ser o guia da  expedição através da floresta até chegar no Lago Khanka. Ao longo da jornada, Arsentiev descobre que Dersu é um homem com uma alma bonita, e eles se tornam amigos íntimos. Quando termina a sua missão, Dersu diz adeus a Arseniev. Em 1907, o capitão Arseniev vai em outra expedição no rio Ussuri. Quando ele reencontra Dersu na floresta, o caçador solitário se junta a sua equipe e orienta o grupo. No entanto, ele está mais velho e tem problemas com sua visão, e o capitão Arseniev convida Dersu Uzala para viver com sua família em Khabarovsk. Mas o velho não se adapta ao estilo de vida urbano e decide voltar para a floresta. Em 1910, o capitão Arseniev é chamado para Korfovskaïa para identificar o corpo de um homem que tem seu cartão de visitas e pode ser Dersu Uzala.",7.94,1975-08-02,"Ação, Aventura, Drama",142
Chinatown,"Contratado por uma bela socialite para investigar o caso extra-conjugal do marido dela, o detetive particular Jake Gittes é arrastado para um furacão de falsidades e enganos mortais, descobrindo uma rede de escândalos pessoais e políticos que colidem entre si.",7.913,1974-06-20,"Crime, Drama, Mistério, Thriller",130
Como Sobreviver a um Ataque Zumbi,"Ben, Carter e Augie são amigos desde que se conheceram no grupo de escoteiros. Enquanto os dois primeiros tentam realizar outras atividades, o último faz questão de convencê-los a acampar mais uma vez. Ben e Carter topam, mas fogem no meio da noite para ir a uma badalada festa secreta na cidade. Chegando ao local, descobrem que tudo foi dominado por zumbis e agora eles têm a missão de sobreviver a esse ataque.",6.544,2015-10-23,"Comédia, Terror",92
Por uns Dólares a Mais,"Monco é um astuto caçador de recompensas, que perambula pelas cidades do velho oeste americano em busca de um novo alvo. Ele o encontra quando vê o cartaz de procurado de Índio, um perigoso bandido que também está sendo procurado pelo coronel Douglas Mortimer, outro caçador de recompensas. Os dois partem no encalço de Índio mas, sem conseguir capturar o bandido nem eliminar o rival, eles precisam decidir entre unir forças ou serem eliminados pela gangue de Índio.",8.017,1965-12-18,Faroeste,132
